@@,name,position
+++,Teeruthraj HURDOYAL,"Minister of Public Service, Administrative and Institutional Reforms"
+++,Sudheer MAUDHOO,"Minister of Blue Economy, Marine Resources, Fisheries and Shipping"
+++,Soomilduth BHOLAH,"Minister of Industrial Development, SMEs and Cooperatives"
+++,Soodesh Satkam CALLICHURN,Minister of Commerce and Consumer Protection
+++,Soodesh Satkam CALLICHURN,"Minister of Labour, Human Resource Development and Training"
+++,Pravind Kumar JUGNAUTH,"Minister for Rodrigues, Outer Islands and Territorial Integrity"
+++,Pravind Kumar JUGNAUTH,"Minister of Defence, Home Affairs and External Communications"
+++,Pravind Kumar JUGNAUTH,Prime Minister
+++,"Mrs Leela Devi DOOKUN-LUCHOOMUN, GCSK","Minister of Education, Tertiary Education, Science and Technology"
+++,"Mrs Leela Devi DOOKUN-LUCHOOMUN, GCSK",Vice-Prime Minister
+++,Mrs Kalpana Devi KOONJOO-SHAH,Minister of Gender Equality and Family Welfare
+++,"Mrs Fazila JEEWA-DAUREEAWOO, GCSK","Minister of Social Integration, Social Security and National Solidarity"
+++,Maneesh GOBIN,Attorney General
+++,Maneesh GOBIN,Minister of Agro-Industry and Food Security
+++,Mahendranuth Sharma HURREERAM,Minister of National Infrastructure and Community Development
+++,Mahen Kumar SEERUTTUN,Minister of Financial Services and Good Governance
+++,Louis Steven OBEEGADOO,Minister of Housing and Land Use Planning
+++,Louis Steven OBEEGADOO,Deputy Prime Minister
+++,Louis Steven OBEEGADOO,Minister of Tourism
+++,Kavydass RAMANO,"Minister of Environment, Solid Waste Management and Climate Change"
+++,Jean Christophe Stephan TOUSSAINT,"Minister of Youth Empowerment, Sports and Recreation"
+++,Georges Pierre LESJONGARD,Minister of Energy and Public Utilities
+++,Dr Renganaden PADAYACHY,"Minister of Finance, Economic Planning and Development"
+++,Dr Mohammad Anwar HUSNOO,Minister of Local Government and Disaster Risk Management
+++,Dr Mohammad Anwar HUSNOO,Vice-Prime Minister
+++,Dr Kailesh Kumar Singh JAGUTPAL,Minister of Health and Wellness
+++,Darsanand BALGOBIN,"Minister of Information Technology, Communication and Innovation"
+++,Avinash TEELUCK,Minister of Arts and Cultural Heritage
+++,Alan GANOO,Minister of Land Transport and Light Rail
+++,Alan GANOO,"Minister of Foreign Affairs, Regional Integration and International Trade"
