item,itemLabel,startDate,endDate
Q2166580,Sir Seewoosagur Ramgoolam,1968,1969
Q3099909,Gaëtan Duval,1969,1973
Q2166580,Sir Seewoosagur Ramgoolam,1973,1976
,Sir Harold Walter,1976,1982
,Jean-Claude de l'Estrac,1982,1983
Q4764635,Anil Gayan,1983,1986
Q3275413,Madan Dulloo,1986,1986
Q5582074,Sir Satcam Boolell,1986,1990
Q3275413,Madan Dulloo,1990,1990
,Jean-Claude de l'Estrac,1990,1991
Q138970,Paul Bérenger,1991,1992
Q138970,Paul Bérenger,1992,1993
,Swalay Kasenally,1993,1994
,Ramduthsing Jaddoo,1994,1995
Q138970,Paul Bérenger,1995,1997
Q57836,Navin Ramgoolam,1997,1997
Q57545,Kailash Purryag,1997,2000
Q4764635,Anil Gayan,2000,2003
Q3163283,Jaya Krishna Cuttaree,2003,2005
Q3275413,Madan Dulloo,2005,2008
Q57836,Navin Ramgoolam,2008,2008
Q58260,Arvin Boolell,2008,2014
,Étienne Sinatambou,2014,2016
,Seetanah Lutchmeenaraidoo,2016,2019
Q3335632,Nando Bodha,2019,2021
Q15733912,Alan Ganoo,2021,2021
