item,itemLabel,position,positionLabel,start,psid
Q107013878,Soomilduth Bholah,Q109908145,"Minister of Industrial Development, SMEs and Cooperatives",2019-11-12,Q107013878-2AE296A8-6328-477D-A94C-F4632C170BB4
Q107021905,Soodesh Satkam Callichurn,Q109908155,Minister of Commerce and Consumer Protection,2021-02-11,Q107021905-1E3F3BEB-E47A-4D29-A010-06FEE48F9918
Q107021905,Soodesh Satkam Callichurn,Q109908158,"Minister of Labour, Human Resource Development and Training",2019-11-12,Q107021905-95D5FFF7-BED4-4F8F-8A68-3E9114FD8C8C
Q107043086,Maneesh Gobin,Q109908389,Attorney General of Mauritius,2019-11-12,Q107043086-A913E969-6A77-48BC-9F77-B128FDB8E334
Q107043086,Maneesh Gobin,Q109908391,Minister of Agro-Industry and Food Security,2019-11-12,Q107043086-0421E802-7898-4415-A537-D77595E7D1EA
Q107043473,Teeruthraj Hurdoyal,Q109908120,"Minister of Public Service, Administrative and Institutional Reforms",2019-11-12,Q107043473-CBDDFB33-2050-41CB-A737-F4F41D5429F3
Q109908127,Mahendranuth Sharma Hurreeram,Q109908128,Minister of National Infrastructure and Community Development,2019-11-12,Q109908127-1C555F8C-E134-46B3-BDD2-8F6E2509758B
Q109908137,Sudheer Maudhoo,Q109908140,"Minister of Blue Economy, Marine Resources, Fisheries and Shipping",2019-11-12,Q109908137-19DD1BC5-7D7E-45E9-8894-5CDB38B44DCE
Q109908150,Darsanand Balgobin,Q109908151,"Minister of Information Technology, Communication and Innovation",2019-11-12,Q109908150-407BF9D5-855A-4796-BB20-BD66434833C2
Q109908276,Kalpana Devi Koonjoo-Shah,Q109908279,Minister of Gender Equality and Family Welfare,2019-11-12,Q109908276-C1E017A5-7290-4A5A-93B6-F2B63AC3C6A1
Q109908401,Mahen Kumar Seeruttun,Q109908402,Minister of Financial Services and Good Governance,2019-11-12,Q109908401-D5E30051-DEF8-46F3-A35D-E1EE1485D7C6
Q109908412,Jean Christophe Stephan Toussaint,Q109908413,"Minister of Youth Empowerment, Sports and Recreation",2019-11-12,Q109908412-78A66DBE-E4B8-4E40-9940-D6804FAF0B33
Q109908422,Avinash Teeluck,Q109908423,Minister of Arts and Cultural Heritage,2019-11-12,Q109908422-DF480819-EE66-48A9-AD25-28EAF49B3F4C
Q109908425,Georges Pierre Lesjongard,Q109908427,Minister of Energy and Public Utilities,2020-06-25,Q109908425-8F6DA4A0-2E63-4034-898A-3D480147E2CF
Q15733912,Alan Ganoo,Q109908070,Minister of Land Transport and Light Rail,2019-11-12,Q15733912-308FBA19-F471-4415-B5AC-7ED8EA136AEC
Q15733912,Alan Ganoo,Q19901420,Minister of Foreign Affairs,2019-11-12,Q15733912-214A1537-5AD8-4BE1-A4D9-0900043DC4FA
Q3401447,Pravind Jugnauth,Q109908024,"Minister for Rodrigues, Outer Islands and Territorial Integrity",2019-11-12,Q3401447-4C97DABF-2A09-4B76-8D28-9DC1D5F7339A
Q3401447,Pravind Jugnauth,Q109908025,"Minister of Defence, Home Affairs and External Communications",2019-11-12,Q3401447-5F7A8DCF-C3CF-4EBB-ACEA-EF4A64DAA318
Q3401447,Pravind Jugnauth,Q1826694,Prime Minister of Mauritius,2017-01-23,Q3401447-f63a2424-40c3-daa6-0440-3b49af280c27
Q6516249,Leela Devi Dookhun,Q109908050,"Minister of Education, Tertiary Education, Science and Technology",2019-11-12,Q6516249-55688C09-0E82-4E31-A012-9783B7C4BD7C
Q6516249,Leela Devi Dookhun,Q7925076,Vice Prime Minister of Mauritius,2019-11-12,Q6516249-B32DD593-F2AF-47D1-93A6-8C4323241B79
Q76879207,Renganaden Padayachy,Q109908076,"Minister of Finance, Economic Planning and Development",2019-11-12,Q76879207-29dc1673-4e53-0459-c295-b66f640e67b9
Q78788683,Louis Obeegadoo,Q109908033,Minister of Housing and Land Use Planning,2019-11-12,Q78788683-35E39FF3-E586-4207-9B22-AA14B11FF063
Q78788683,Louis Obeegadoo,Q109908035,Minister of Tourism,2020-06-25,Q78788683-6DB655D0-610E-41B2-8E78-ECAC9CD04810
Q78788683,Louis Obeegadoo,Q7925076,Vice Prime Minister of Mauritius,2020-06-25,Q78788683-44CC3538-DD6C-41A7-A63E-01C8CD2B9EF1
Q80207081,Fazila Jeewa-Daureeawoo,Q109908082,"Minister of Social Integration, Social Security and National Solidarity",2019-11-12,Q80207081-E5D79B28-60D0-48FB-B7CF-898D128B60EF
Q85854164,Mohammad Anwar Husnoo,Q109908064,Minister of Local Government and Disaster Risk Management,2019-11-12,Q85854164-E2CB19DA-86B1-4A25-8AA6-EE7C89FFD696
Q85854164,Mohammad Anwar Husnoo,Q7925076,Vice Prime Minister of Mauritius,2019-11-12,Q85854164-90888A30-2DDE-4FE3-A5CD-D96AFE37E339
Q98228558,Kavy Ramano,Q109908091,"Minister of Environment, Solid Waste Management and Climate Change",2019-11-12,Q98228558-653ED956-C6A6-4F40-85BD-FA50903A35BC
Q98915763,Kailesh Jagutpal,Q109908465,Minister of Health and Wellness,2019-11-12,Q98915763-544E116D-5B67-47A8-8E15-56B68A139038
